building_id,region,municipality,street,house_number,postal_code,latitude_wgs84,longitude_wgs84,building_use
100110201A,19,295,Lövbergsvägen,55,22840,60.326142,20.934597,1
100110202B,19,295,Löknäsvägen,74,22840,60.340474,20.912707,1
100110203C,19,295,Löknäsvägen,76,22840,60.340834,20.912113,1
100110204D,19,295,Löknäsvägen,75,22840,60.34173,20.915161,1
100110205E,19,295,Lövbergsvägen,64,22840,60.326917,20.935379,1
100110206F,19,295,Björkövägen,273,22840,60.331691,20.919706,1
100110207H,19,295,Björkövägen,275,22840,60.331737,20.920515,1
100110208J,19,295,Löknäsvägen,151,22840,60.339845,20.906284,1
100110209K,19,295,Björkö,,22840,60.339935,20.906467,2
100110210L,19,295,Björkö,,22810,60.334216,20.952837,1
100110211M,19,295,,,22810,60.334299,20.953875,2
100110212N,19,295,Löknäsvägen,53,22840,60.33985,20.914804,1
100110213P,19,295,Löknäsvägen,29,22840,60.339042,20.916244,1
100110214R,19,295,Löknäsvägen,29,22840,60.339943,20.916058,1
100110215S,19,295,Löknäsvägen,29,22840,60.338505,20.915909,2
100110216T,19,295,Björkö,,22840,60.371087,20.948055,1
100110217U,19,295,Björkö by,,22840,60.363524,20.941754,1
100110218V,19,295,Björkövägen,263,22840,60.330966,20.920586,1
100110219W,19,295,Björkö,,22840,60.330885,20.920983,2
100110220X,19,295,Röjnäsvägen,29,22840,60.317699,20.933682,1
100110221Y,19,295,,,22840,60.31854,20.933961,1
1001102220,19,295,,,0,60.394533,20.897503,1
1001102231,19,295,Löknäsvägen,117,22840,60.343368,20.906715,1
1001102242,19,295,Björkö,,22840,60.343614,20.907178,2
1001102253,19,295,Björkö,,22840,60.379173,20.929925,1
1001102253,19,295,Var,,22840,60.379173,20.929925,1
1001102264,19,295,Björkövägen,256,22840,60.328821,20.921531,1
1001102275,19,295,Björkö,,22840,60.329,20.921698,2
1001102286,19,295,Björkövägen,292,22840,60.333462,20.91963,1
1001102297,19,295,Björkövägen,294,22840,60.335013,20.922047,1
1001102308,19,295,Norra Äspskär,,22840,60.386829,20.920127,1
1001102319,19,295,Rankulviksvägen,3,22840,60.332228,20.918262,1
100110232A,19,295,Björkö,,22840,60.33276,20.91789,2
100110233B,19,295,Björkö,,22840,60.333936,20.920359,1
100110234C,19,295,Kålholmsvägen,63,22840,60.336169,20.911731,1
100110235D,19,295,Björkövägen,319,22840,60.335541,20.924927,1
100110236E,19,295,Rankulviksvägen,32,22840,60.330546,20.913981,1
100110237F,19,295,Björkö,,22820,60.3307,20.912826,2
100110238H,19,295,Rankulviksvägen,32,22820,60.330824,20.913766,1
100110239J,19,295,,,0,60.331739,20.911524,1
100110240K,19,295,Rankulviksvägen,31,22840,60.331905,20.91162,1
100110241L,19,295,Rankulviksvägen,33,22840,60.332131,20.91047,1
100110242M,19,295,Rankulviksvägen,33,22840,60.33222,20.910835,1
100110243N,19,295,Björkövägen,217,22840,60.327651,20.926054,2
100110244P,19,295,Björkö,,22840,60.315138,20.938116,1
100110245R,19,295,Gränskärsvägen,27,22840,60.314805,20.937742,1
100110246S,19,295,,,22840,60.314945,20.938043,2
100110247T,19,295,Gränskärsvägen,39,22840,60.315295,20.939575,1
100110248U,19,295,Gränskärsvägen,39,22840,60.31536,20.939835,1
100110249V,19,295,Ånholmsvägen,52,22840,60.340177,20.925861,1
100110250W,19,295,Korsö,,22920,60.350638,20.939591,1
100110251X,19,295,Björkö,,22840,60.350904,20.940487,1
100110252Y,19,295,,,0,60.312926,20.923062,1
1001102530,19,295,Björkö,,22840,60.314463,20.923193,1
1001102541,19,295,Björkövägen,253,22840,60.330343,20.92152,1
1001102552,19,295,Björkövägen,266,22840,60.330793,20.918984,1
1001102563,19,295,Kålholmsvägen,90,22840,60.336349,20.909373,1
1001102574,19,295,Björkövägen,258,22840,60.329988,20.92026,1
1001102585,19,295,Ånholmsvägen,21,22840,60.337438,20.923865,1
1001102596,19,295,Ånholmsvägen,14,22840,60.338425,20.922409,1
1001102607,19,295,Kumlinge,,22820,60.32304,20.751608,1
1001102618,19,295,Enklinge,,22830,60.344162,20.764835,1
1001102629,19,295,Enklinge,,22830,60.327311,20.743814,1
100110263A,19,295,Sälviksvägen,143,22830,60.349101,20.746386,1
100110264B,19,295,Västerstu,,22830,60.349316,20.746726,1
100110265C,19,295,Enklinge,,22830,60.350078,20.745707,1
100110266D,19,295,Alvägen,21,22830,60.316264,20.746952,2
100110267E,19,295,Esplundsvägen,26,22830,60.317846,20.747846,2
100110268F,19,295,Esplundsvägen,16,22830,60.318286,20.748561,1
100110269H,19,295,Enklinge,,22830,60.318278,20.747836,2
100110270J,19,295,Veduddsvägen,15,22830,60.316252,20.747462,1
100110272L,19,295,Enklinge,,22830,60.315677,20.747863,2
100110273M,19,295,Esplundsvägen,84,22830,60.315928,20.737175,1
100110274N,19,295,,,22830,60.316043,20.737516,2
100110275P,19,295,Esplundsvägen,90,22830,60.316397,20.737939,1
100110276R,19,295,Lotsuddsvägen,14,22830,60.314729,20.743615,1
100110277S,19,295,Lotsuddsvägen,22,22830,60.314768,20.744062,1
100110278T,19,295,Enklinge,,22830,60.315764,20.745504,1
100110279U,19,295,Lotsuddsvägen,3,22830,60.314763,20.738815,1
100110280V,19,295,Lotsuddsvägen,3,22830,60.314535,20.738369,1
100110281W,19,295,Tegarsvägen,20,22830,60.33618,20.76996,1
100110282X,19,295,Harholmsvägen,95,22830,60.334049,20.782104,1
100110283Y,19,295,Enklinge,,22830,60.339947,20.768676,1
1001102840,19,295,,,22820,60.340222,20.770114,1
1001102851,19,295,Enklingevägen,104,22830,60.326886,20.754666,1
1001102862,19,295,Enklingevägen,111,22830,60.326646,20.756637,1
1001102873,19,295,Bobackavägen,16,22830,60.327106,20.752262,1
1001102884,19,295,Bobackavägen,1,22830,60.326455,20.754113,1
1001102895,19,295,Bobackavägen,3,22830,60.326185,20.753928,1
1001102906,19,295,Enklinge,,22830,60.340565,20.763416,1
1001102917,19,295,Enklingevägen,306,22830,60.340655,20.763417,1
