sourceCode,sourceName,targetCode,targetName,distributionSourceToTarget,distributionTargetToSource,
A,"Jordbruk, skogsbruk och fiske",S,"Kultur, idrott och fritid",2,2,
A,"Jordbruk, skogsbruk och fiske",A,"Jordbruk, skogsbruk och fiske",2,2,
01,Jordbruk och jakt samt service i anslutning härtill,01,Jordbruk och jakt samt stödverksamhet i anslutning härtill,0,2,
011,Odling av ett- och tvååriga växter,011,Odling av ett- och tvååriga växter,0,2,
0111,"Odling av spannmål (utom ris), baljväxter och oljeväxter",0111,"Odling av spannmål (utom ris), baljväxter och oljeväxter",0,0,
01110,"Odling av spannmål (utom ris), baljväxter och oljeväxter",01110,"Odling av spannmål (utom ris), baljväxter och oljeväxter",0,0,
0112,Odling av ris,0112,Odling av ris,0,0,
01120,Odling av ris,01120,Odling av ris,0,0,
0113,"Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar",0113,"Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar",0,2,
01131,Odling av grönsaker på friland (exkl. potatis och sockerbeta),01131,"Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar på friland exklusive odling av potatis",0,2,
01132,Odling av grönsaker i växthus,01132,"Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar i växthus",0,2,
01133,Odling av potatis,01133,Odling av potatis,0,0,
01134,Odling av sockerbetor,01131,"Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar på friland exklusive odling av potatis",0,2,
0114,Odling av sockerrör,0114,Odling av sockerrör,0,0,
01140,Odling av sockerrör,01140,Odling av sockerrör,0,0,
0115,Odling av tobak,0115,Odling av tobak,0,0,
01150,Odling av tobak,01150,Odling av tobak,0,0,
0116,Odling av fiberväxter,0116,Odling av fiberväxter,0,0,
01160,Odling av fiberväxter,01160,Odling av fiberväxter,0,0,
0119,Odling av andra ett- och tvååriga växter,0119,Odling av andra ett- och tvååriga växter,2,0,
0119,Odling av andra ett- och tvååriga växter,0113,"Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar",2,2,
01191,Odling av prydnadsväxter,01191,Odling av blommor och prydnadsväxter,0,0,
01199,Odling av andra ettåriga växter,01199,Övrig odling av ett- och tvååriga växter som inte klassificerats på annat håll,2,0,
01199,Odling av andra ettåriga växter,01131,"Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar på friland exklusive odling av potatis",2,2,
012,Odling av fleråriga växter,012,Odling av fleråriga växter,2,0,
012,Odling av fleråriga växter,011,Odling av ett- och tvååriga växter,2,2,
0121,Odling av druvor,0121,Odling av druvor,0,0,
01210,Odling av druvor,01210,Odling av druvor,0,0,
0122,Odling av tropiska och subtropiska frukter,0122,Odling av tropiska och subtropiska frukter,0,0,
01220,Odling av tropiska och subtropiska frukter,01220,Odling av tropiska och subtropiska frukter,0,0,
0123,Odling av citrusfrukter,0123,Odling av citrusfrukter,0,0,
01230,Odling av citrusfrukter,01230,Odling av citrusfrukter,0,0,
0124,Odling av kärnfrukter och stenfrukter,0124,Odling av kärnfrukter och stenfrukter,0,0,
01240,Odling av kärnfrukter och stenfrukter,01240,Odling av kärnfrukter och stenfrukter,0,0,
0125,"Odling av andra frukter, bär samt nötter",0125,"Odling av andra frukter, bär samt nötter",0,0,
01250,"Odling av andra frukter, bär samt nötter",01250,"Odling av andra frukter, bär samt nötter",0,0,
0126,Odling av oljehaltiga frukter,0126,Odling av oljehaltiga frukter,0,0,
01260,Odling av oljehaltiga frukter,01260,Odling av oljehaltiga frukter,0,0,
0127,Odling av växter för dryckesframställning,0127,Odling av växter för dryckesframställning,0,0,
01270,Odling av växter för dryckesframställning,01270,Odling av växter för dryckesframställning,0,0,
0128,"Odling av kryddväxter, drog- och medicinalväxter",0128,"Odling av kryddväxter, drog- och medicinalväxter",2,0,
0128,"Odling av kryddväxter, drog- och medicinalväxter",0113,"Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar",2,2,
01280,"Odling av kryddväxter, drog- och medicinalväxter",01280,"Odling av kryddväxter, drog- och medicinalväxter",1,0,
01280,"Odling av kryddväxter, drog- och medicinalväxter",01132,"Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar i växthus",2,2,
0129,Odling av andra fleråriga växter,0129,Odling av andra fleråriga växter,0,0,
01290,Odling av andra fleråriga växter,01290,Odling av andra fleråriga växter,0,0,
013,Odling av plantskoleväxter,013,Odling av plantskoleväxter,0,0,
0130,Odling av plantskoleväxter,0130,Odling av plantskoleväxter,0,0,
01300,Odling av plantskoleväxter,01300,Odling av plantskoleväxter,0,0,
014,Husdjursskötsel,014,Husdjursskötsel,0,2,
0141,Mjölkproduktion och uppfödning av nötkreatur av mjölkras,0141,Mjölkproduktion och uppfödning av nötkreatur av mjölkras,0,2,
01410,Mjölkproduktion och uppfödning av nötkreatur av mjölkras,01410,Mjölkproduktion och uppfödning av nötkreatur av mjölkras,0,1,
0142,Uppfödning av andra nötkreatur och bufflar,0142,Uppfödning av andra nötkreatur och bufflar,2,0,
0142,Uppfödning av andra nötkreatur och bufflar,0141,Mjölkproduktion och uppfödning av nötkreatur av mjölkras,2,2,
01420,Uppfödning av andra nötkreatur och bufflar,01420,Uppfödning av andra nötkreatur och bufflar,1,0,
01420,Uppfödning av andra nötkreatur och bufflar,01410,Mjölkproduktion och uppfödning av nötkreatur av mjölkras,2,2,
0143,Uppfödning av hästar och andra hästdjur,0143,Uppfödning av hästar och andra hästdjur,0,0,
01430,Uppfödning av hästar och andra hästdjur,01430,Uppfödning av hästar och andra hästdjur,0,0,
0144,Uppfödning av kameler och kameldjur,0144,Uppfödning av kameler och kameldjur,0,0,
01440,Uppfödning av kameler och kameldjur,01440,Uppfödning av kameler och kameldjur,0,0,
0145,Uppfödning av får och getter,0145,Uppfödning av får och getter,0,0,
01450,Uppfödning av får och getter,01450,Uppfödning av får och getter,0,0,
0146,Uppfödning av svin,0146,Uppfödning av svin,0,0,
01461,Grisproduktion,01461,Uppfödning av svin för grisproduktion,0,0,
01462,Uppfödning av svin som snart skall slaktas,01462,Uppfödning av svin för köttproduktion,0,0,
0147,Äggproduktion och uppfödning av fjäderfä,0147,Äggproduktion och uppfödning av fjäderfä,0,2,
01471,Äggproduktion,01471,Uppfödning av höns för äggproduktion,0,2,
01472,Kycklingproduktion,01472,Uppfödning av kycklingar för köttproduktion,0,0,
01479,Annan fjäderfäskötsel,01479,Övrig uppfödning av fjäderfä,0,2,
0149,Uppfödning av andra djur,0148,Uppfödning av andra djur,2,2,
0149,Uppfödning av andra djur,0147,Äggproduktion och uppfödning av fjäderfä,2,2,
01491,Pälsnäring,01481,Uppfödning av pälsdjur,0,0,
01492,Renskötsel,01482,Renskötsel,0,0,
01499,Annan djurskötsel,01489,Övrig uppfödning av djur som inte klassificerats på annat håll,2,2,
01499,Annan djurskötsel,01479,Övrig uppfödning av fjäderfä,2,2,
015,Blandat jordbruk,015,Blandat jordbruk,0,0,
0150,Blandat jordbruk,0150,Blandat jordbruk,0,0,
01500,Blandat jordbruk,01500,Blandat jordbruk,0,0,
016,Service till jordbruk och bearbetning av skördade växter,016,Stödverksamhet avseende jordbruk och bearbetning av skördade växter,2,0,
016,Service till jordbruk och bearbetning av skördade växter,014,Husdjursskötsel,2,2,
0161,Service till växtodling,0161,Stödverksamhet avseende växtodling,0,0,
01611,Stödtjänster till växtodling,01612,Övrig stödverksamhet avseende växtodling,0,0,
01612,Att hålla odlingsmark odlingsbar,01611,Att hålla odlingsmark i gott skick,0,0,
0162,Service till husdjursskötsel,0162,Stödverksamhet avseende husdjursskötsel,2,0,
0162,Service till husdjursskötsel,0147,Äggproduktion och uppfödning av fjäderfä,2,2,
01620,Service till husdjursskötsel,01620,Stödverksamhet avseende husdjursskötsel,1,0,
01620,Service till husdjursskötsel,01479,Övrig uppfödning av fjäderfä,2,2,
01620,Service till husdjursskötsel,01471,Uppfödning av höns för äggproduktion,2,2,
0163,Bearbetning av skördade växter,0163,Bearbetning av skördade växter och utsäde,0,2,
01630,Bearbetning av skördade växter,01630,Bearbetning av skördade växter och utsäde,0,2,
0164,Bearbetning av utsäde,0163,Bearbetning av skördade växter och utsäde,0,2,
01640,Bearbetning av utsäde,01630,Bearbetning av skördade växter och utsäde,0,2,
017,Jakt och service i anslutning härtill,017,Jakt och stödverksamhet i anslutning härtill,0,0,
0170,Jakt och service i anslutning härtill,0170,Jakt och stödverksamhet i anslutning härtill,0,0,
01700,Jakt och service i anslutning härtill,01700,Jakt och stödverksamhet i anslutning härtill,0,0,
02,Skogsbruk,91,"Biblioteks-, arkiv- och museiverksamhet m.m.",2,2,
02,Skogsbruk,02,Skogsbruk,2,0,
021,Skogshushållning och skogsskötsel,914,"Drift av botaniska trädgårdar, djurparker och naturreservat",2,2,
021,Skogshushållning och skogsskötsel,021,Skogsförvaltning och skogsskötsel,2,0,
0210,Skogshushållning och skogsskötsel,9142,Drift av naturreservat,2,2,
0210,Skogshushållning och skogsskötsel,0210,Skogsförvaltning och skogsskötsel,2,0,
02100,Skogshushållning och skogsskötsel,91420,Drift av naturreservat,2,2,
02100,Skogshushållning och skogsskötsel,02100,Skogsförvaltning och skogsskötsel,1,0,
022,Drivning,022,Drivning,0,0,
0220,Drivning,0220,Drivning,0,0,
02200,Drivning,02200,Drivning,0,0,
023,Insamling av annat vilt växande skogsmaterial än trä,023,Insamling av annat vilt växande skogsmaterial än trä,0,0,
0230,Insamling av annat vilt växande skogsmaterial än trä,0230,Insamling av annat vilt växande skogsmaterial än trä,0,0,
02300,Insamling av annat vilt växande skogsmaterial än trä,02300,Insamling av annat vilt växande skogsmaterial än trä,0,0,
024,Service till skogsbruk,024,Stödverksamhet avseende skogsbruk,0,0,
0240,Service till skogsbruk,0240,Stödverksamhet avseende skogsbruk,0,0,
02400,Service till skogsbruk,02400,Stödverksamhet avseende skogsbruk,0,0,
03,Fiske och vattenbruk,03,Fiske och vattenbruk,2,2,
03,Fiske och vattenbruk,01,Jordbruk och jakt samt stödverksamhet i anslutning härtill,2,2,
031,Fiske,033,Stödverksamhet avseende fiske och vattenbruk,2,2,
031,Fiske,031,Fiske,2,0,
0311,Saltvattensfiske,0330,Stödverksamhet avseende fiske och vattenbruk,2,2,
0311,Saltvattensfiske,0311,Saltvattensfiske,2,0,
03110,Saltvattensfiske,03300,Stödverksamhet avseende fiske och vattenbruk,2,2,
03110,Saltvattensfiske,03110,Saltvattensfiske,1,0,
0312,Sötvattensfiske,0330,Stödverksamhet avseende fiske och vattenbruk,2,2,
0312,Sötvattensfiske,0312,Sötvattensfiske,2,0,
03120,Sötvattensfiske,03300,Stödverksamhet avseende fiske och vattenbruk,2,2,
03120,Sötvattensfiske,03120,Sötvattensfiske,1,0,
032,Vattenbruk,033,Stödverksamhet avseende fiske och vattenbruk,2,2,
032,Vattenbruk,032,Vattenbruk,2,0,
032,Vattenbruk,014,Husdjursskötsel,2,2,
0321,Fiskodling i saltvatten,0330,Stödverksamhet avseende fiske och vattenbruk,2,2,
0321,Fiskodling i saltvatten,0321,Vattenbruk i saltvatten,2,0,
03210,Fiskodling i saltvatten,03300,Stödverksamhet avseende fiske och vattenbruk,2,2,
03210,Fiskodling i saltvatten,03210,Vattenbruk i saltvatten,1,0,
0322,Fiskodling i sötvatten,0330,Stödverksamhet avseende fiske och vattenbruk,2,2,
0322,Fiskodling i sötvatten,0322,Vattenbruk i sötvatten,2,0,
0322,Fiskodling i sötvatten,0148,Uppfödning av andra djur,2,2,
03220,Fiskodling i sötvatten,03300,Stödverksamhet avseende fiske och vattenbruk,2,2,
03220,Fiskodling i sötvatten,03220,Vattenbruk i sötvatten,1,0,
03220,Fiskodling i sötvatten,01489,Övrig uppfödning av djur som inte klassificerats på annat håll,2,2,
B,Utvinning av mineral,B,Utvinning av mineral,0,0,
05,Kolutvinning,05,Kolutvinning,0,0,
051,Stenkolsutvinning,051,Stenkolsutvinning,0,0,
0510,Stenkolsutvinning,0510,Stenkolsutvinning,0,0,
05100,Stenkolsutvinning,05100,Stenkolsutvinning,0,0,
052,Brunkolsutvinning,052,Brunkolsutvinning,0,0,
0520,Brunkolsutvinning,0520,Brunkolsutvinning,0,0,
05200,Brunkolsutvinning,05200,Brunkolsutvinning,0,0,
06,Utvinning av råpetroleum och naturgas,06,Utvinning av råpetroleum och naturgas,0,0,
061,Utvinning av råpetroleum,061,Utvinning av råpetroleum,0,0,
0610,Utvinning av råpetroleum,0610,Utvinning av råpetroleum,0,0,
06100,Utvinning av råpetroleum,06100,Utvinning av råpetroleum,0,0,
062,Utvinning av naturgas,062,Utvinning av naturgas,0,0,
0620,Utvinning av naturgas,0620,Utvinning av naturgas,0,0,
