code,level,classificationName,
A,1,"Maatalous, metsätalous ja kalatalous",
01,2,"Kasvinviljely ja kotieläintalous, riistatalous ja niihin liittyvät palvelut",
011,3,Yksivuotisten kasvien viljely,
0111,4,"Viljakasvien, pois lukien riisi, palkokasvien ja öljysiemenkasvien viljely",
01110,5,"Viljakasvien, pois lukien riisi, palkokasvien ja öljysiemenkasvien viljely",
0112,4,Riisin viljely,
01120,5,Riisin viljely,
0113,4,"Vihannesten ja melonien, juuresten ja mukulakasvien viljely",
01131,5,"Vihannesten ja melonien, juuresten ja mukulakasvien viljely avomaalla pois lukien perunan viljely",
01132,5,"Vihannesten ja melonien, juuresten ja mukulakasvien viljely kasvihuoneessa",
01133,5,Perunan viljely,
0114,4,Sokeriruo’on viljely,
01140,5,Sokeriruo’on viljely,
0115,4,Tupakan viljely,
01150,5,Tupakan viljely,
0116,4,Kuitukasvien viljely,
01160,5,Kuitukasvien viljely,
0119,4,Muu yksivuotisten ja koristekasvien viljely,
01191,5,Kukkien ja koristekasvien viljely,
01199,5,Muu muualla luokittelematon yksi- ja kaksivuotisten kasvien viljely,
012,3,Monivuotisten kasvien viljely,
0121,4,Rypäleiden viljely,
01210,5,Rypäleiden viljely,
0122,4,Trooppisten ja subtrooppisten hedelmien viljely,
01220,5,Trooppisten ja subtrooppisten hedelmien viljely,
0123,4,Sitrushedelmien viljely,
01230,5,Sitrushedelmien viljely,
0124,4,Kota- ja kivihedelmien viljely,
01240,5,Kota- ja kivihedelmien viljely,
0125,4,"Marjojen, pähkinöiden ja muiden puissa ja pensaissa kasvavien hedelmien viljely",
01250,5,"Marjojen, pähkinöiden ja muiden puissa ja pensaissa kasvavien hedelmien viljely",
0126,4,Öljyä sisältävien hedelmien viljely,
01260,5,Öljyä sisältävien hedelmien viljely,
0127,4,Juomakasvien viljely,
01270,5,Juomakasvien viljely,
0128,4,"Mauste-, aromi-, rohdos- ja lääkekasvien viljely",
01280,5,"Mauste-, aromi-, rohdos- ja lääkekasvien viljely",
0129,4,Muu monivuotisten kasvien viljely,
01290,5,Muu monivuotisten kasvien viljely,
013,3,Taimien kasvatus ja muu kasvien lisääminen,
0130,4,Taimien kasvatus ja muu kasvien lisääminen,
01300,5,Taimien kasvatus ja muu kasvien lisääminen,
014,3,Kotieläintalous,
0141,4,Lypsykarjan kasvatus,
01410,5,Lypsykarjan kasvatus,
0142,4,Muun nautakarjan ja puhvelien kasvatus,
01420,5,Muun nautakarjan ja puhvelien kasvatus,
0143,4,Hevosten ja muiden hevoseläinten kasvatus,
01430,5,Hevosten ja muiden hevoseläinten kasvatus,
0144,4,Kamelien ja kamelieläinten kasvatus,
01440,5,Kamelien ja kamelieläinten kasvatus,
0145,4,Lampaiden ja vuohien kasvatus,
01450,5,Lampaiden ja vuohien kasvatus,
0146,4,Sikojen ja porsaiden kasvatus,
01461,5,Sikojen ja porsaiden kasvatus porsastuotantoa varten,
01462,5,Sikojen ja porsaiden kasvatus lihantuotantoa varten,
0147,4,Siipikarjan kasvatus,
01471,5,Kanojen kasvatus munien tuotantoa varten,
01472,5,Broilerien kasvatus lihantuotantoa varten,
01479,5,Muu siipikarjan kasvatus,
0148,4,Muiden eläinten kasvatus,
01481,5,Turkiseläinten kasvatus,
01482,5,Poronhoito,
01489,5,Muu muualla luokittelematon eläinten kasvatus,
015,3,Yhdistetty kasvinviljely ja kotieläintalous,
0150,4,Yhdistetty kasvinviljely ja kotieläintalous,
01500,5,Yhdistetty kasvinviljely ja kotieläintalous,
016,3,Maataloutta palveleva toiminta,
0161,4,Kasvinviljelyä palveleva toiminta,
01611,5,Viljelysmaan pitäminen hyvässä kunnossa,
01612,5,Muu kasvinviljelyä palveleva toiminta,
0162,4,Kotieläintaloutta palveleva toiminta,
01620,5,Kotieläintaloutta palveleva toiminta,
0163,4,Sadon jatkokäsittely ja siementen käsittely kasvinviljelyä varten,
01630,5,Sadon jatkokäsittely ja siementen käsittely kasvinviljelyä varten,
017,3,Metsästys ja sitä palveleva toiminta,
0170,4,Metsästys ja sitä palveleva toiminta,
01700,5,Metsästys ja sitä palveleva toiminta,
02,2,Metsätalous ja puunkorjuu,
021,3,Metsänhoito,
0210,4,Metsänhoito,
