code,level,classificationName,
A,1,"Jordbruk, skogsbruk och fiske",
01,2,Jordbruk och jakt samt stödverksamhet i anslutning härtill,
011,3,Odling av ett- och tvååriga växter,
0111,4,"Odling av spannmål (utom ris), baljväxter och oljeväxter",
01110,5,"Odling av spannmål (utom ris), baljväxter och oljeväxter",
0112,4,Odling av ris,
01120,5,Odling av ris,
0113,4,"Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar",
01131,5,"Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar på friland exklusive odling av potatis",
01132,5,"Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar i växthus",
01133,5,Odling av potatis,
0114,4,Odling av sockerrör,
01140,5,Odling av sockerrör,
0115,4,Odling av tobak,
01150,5,Odling av tobak,
0116,4,Odling av fiberväxter,
01160,5,Odling av fiberväxter,
0119,4,Odling av andra ett- och tvååriga växter,
01191,5,Odling av blommor och prydnadsväxter,
01199,5,Övrig odling av ett- och tvååriga växter som inte klassificerats på annat håll,
012,3,Odling av fleråriga växter,
0121,4,Odling av druvor,
01210,5,Odling av druvor,
0122,4,Odling av tropiska och subtropiska frukter,
01220,5,Odling av tropiska och subtropiska frukter,
0123,4,Odling av citrusfrukter,
01230,5,Odling av citrusfrukter,
0124,4,Odling av kärnfrukter och stenfrukter,
01240,5,Odling av kärnfrukter och stenfrukter,
0125,4,"Odling av andra frukter, bär samt nötter",
01250,5,"Odling av andra frukter, bär samt nötter",
0126,4,Odling av oljehaltiga frukter,
01260,5,Odling av oljehaltiga frukter,
0127,4,Odling av växter för dryckesframställning,
01270,5,Odling av växter för dryckesframställning,
0128,4,"Odling av kryddväxter, drog- och medicinalväxter",
01280,5,"Odling av kryddväxter, drog- och medicinalväxter",
0129,4,Odling av andra fleråriga växter,
01290,5,Odling av andra fleråriga växter,
013,3,Odling av plantskoleväxter,
0130,4,Odling av plantskoleväxter,
01300,5,Odling av plantskoleväxter,
014,3,Husdjursskötsel,
0141,4,Mjölkproduktion och uppfödning av nötkreatur av mjölkras,
01410,5,Mjölkproduktion och uppfödning av nötkreatur av mjölkras,
0142,4,Uppfödning av andra nötkreatur och bufflar,
01420,5,Uppfödning av andra nötkreatur och bufflar,
0143,4,Uppfödning av hästar och andra hästdjur,
01430,5,Uppfödning av hästar och andra hästdjur,
0144,4,Uppfödning av kameler och kameldjur,
01440,5,Uppfödning av kameler och kameldjur,
0145,4,Uppfödning av får och getter,
01450,5,Uppfödning av får och getter,
0146,4,Uppfödning av svin,
01461,5,Uppfödning av svin för grisproduktion,
01462,5,Uppfödning av svin för köttproduktion,
0147,4,Äggproduktion och uppfödning av fjäderfä,
01471,5,Uppfödning av höns för äggproduktion,
01472,5,Uppfödning av kycklingar för köttproduktion,
01479,5,Övrig uppfödning av fjäderfä,
0148,4,Uppfödning av andra djur,
01481,5,Uppfödning av pälsdjur,
01482,5,Renskötsel,
01489,5,Övrig uppfödning av djur som inte klassificerats på annat håll,
015,3,Blandat jordbruk,
0150,4,Blandat jordbruk,
01500,5,Blandat jordbruk,
016,3,Stödverksamhet avseende jordbruk och bearbetning av skördade växter,
0161,4,Stödverksamhet avseende växtodling,
01611,5,Att hålla odlingsmark i gott skick,
01612,5,Övrig stödverksamhet avseende växtodling,
0162,4,Stödverksamhet avseende husdjursskötsel,
01620,5,Stödverksamhet avseende husdjursskötsel,
0163,4,Bearbetning av skördade växter och utsäde,
01630,5,Bearbetning av skördade växter och utsäde,
017,3,Jakt och stödverksamhet i anslutning härtill,
0170,4,Jakt och stödverksamhet i anslutning härtill,
01700,5,Jakt och stödverksamhet i anslutning härtill,
02,2,Skogsbruk,
021,3,Skogsförvaltning och skogsskötsel,
0210,4,Skogsförvaltning och skogsskötsel,
02100,5,Skogsförvaltning och skogsskötsel,
022,3,Drivning,
0220,4,Drivning,
02200,5,Drivning,
023,3,Insamling av annat vilt växande skogsmaterial än trä,
0230,4,Insamling av annat vilt växande skogsmaterial än trä,
02300,5,Insamling av annat vilt växande skogsmaterial än trä,
024,3,Stödverksamhet avseende skogsbruk,
0240,4,Stödverksamhet avseende skogsbruk,
02400,5,Stödverksamhet avseende skogsbruk,
03,2,Fiske och vattenbruk,
031,3,Fiske,
0311,4,Saltvattensfiske,
03110,5,Saltvattensfiske,
0312,4,Sötvattensfiske,
03120,5,Sötvattensfiske,
032,3,Vattenbruk,
0321,4,Vattenbruk i saltvatten,
03210,5,Vattenbruk i saltvatten,
0322,4,Vattenbruk i sötvatten,
03220,5,Vattenbruk i sötvatten,
033,3,Stödverksamhet avseende fiske och vattenbruk,
0330,4,Stödverksamhet avseende fiske och vattenbruk,
03300,5,Stödverksamhet avseende fiske och vattenbruk,
B,1,Utvinning av mineral,
05,2,Kolutvinning,
051,3,Stenkolsutvinning,
0510,4,Stenkolsutvinning,
05100,5,Stenkolsutvinning,
052,3,Brunkolsutvinning,
0520,4,Brunkolsutvinning,
05200,5,Brunkolsutvinning,
06,2,Utvinning av råpetroleum och naturgas,
061,3,Utvinning av råpetroleum,
0610,4,Utvinning av råpetroleum,
06100,5,Utvinning av råpetroleum,
062,3,Utvinning av naturgas,
0620,4,Utvinning av naturgas,
06200,5,Utvinning av naturgas,
07,2,Utvinning av metallmalmer,
071,3,Järnmalmsutvinning,
0710,4,Järnmalmsutvinning,
07100,5,Järnmalmsutvinning,
072,3,Utvinning av andra metallmalmer än järnmalm,
0721,4,Utvinning av uran- och toriummalm,
07210,5,Utvinning av uran- och toriummalm,
0729,4,Utvinning av annan malm,
07290,5,Utvinning av annan malm,
08,2,Annan utvinning av mineral,
081,3,"Utvinning av sand, grus, sten och lera",
0811,4,"Brytning av natursten, kalk- och gipssten, skiffer eller annan sten",
08110,5,"Brytning av natursten, kalk- och gipssten, skiffer eller annan sten",
0812,4,"Utvinning av sand, grus och berg samt utvinning av lera och kaolin",
08120,5,"Utvinning av sand, grus och berg samt utvinning av lera och kaolin",
089,3,Övrig utvinning av mineral,
0891,4,Utvinning av kemiska mineral,
08910,5,Utvinning av kemiska mineral,
0892,4,Torvutvinning,
08920,5,Torvutvinning,
0893,4,Saltutvinning,
08930,5,Saltutvinning,
0899,4,Diverse övrig utvinning av mineral,
08990,5,Diverse övrig utvinning av mineral,
09,2,Stödverksamhet avseende utvinning,
091,3,Stödverksamhet avseende råpetroleum- och naturgasutvinning,
0910,4,Stödverksamhet avseende råpetroleum- och naturgasutvinning,
09100,5,Stödverksamhet avseende råpetroleum- och naturgasutvinning,
099,3,Stödverksamhet avseende annan utvinning,
0990,4,Stödverksamhet avseende annan utvinning,
09900,5,Stödverksamhet avseende annan utvinning,
C,1,Tillverkning,
10,2,Livsmedelsframställning,
101,3,Beredning och hållbarhetsbehandling av kött och köttvaror,
1011,4,"Beredning och hållbarhetsbehandling av kött, utom fjäderfäkött",
10110,5,"Beredning och hållbarhetsbehandling av kött, utom fjäderfäkött",
1012,4,Beredning och hållbarhetsbehandling av fjäderfäkött,
10120,5,Beredning och hållbarhetsbehandling av fjäderfäkött,
1013,4,Charkuteri- och annan köttvarutillverkning,
10130,5,Charkuteri- och annan köttvarutillverkning,
102,3,Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur,
1020,4,Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur,
10200,5,Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur,
103,3,"Beredning och hållbarhetsbehandling av frukt, bär och grönsaker",
1031,4,Beredning och hållbarhetsbehandling av potatis,
10310,5,Beredning och hållbarhetsbehandling av potatis,
1032,4,Juice- och safttillverkning,
10320,5,Juice- och safttillverkning,
1039,4,"Annan beredning och hållbarhetsbehandling av frukt, bär och grönsaker",
10390,5,"Annan beredning och hållbarhetsbehandling av frukt, bär och grönsaker",
104,3,Framställning av vegetabiliska och animaliska oljor och fetter,
1041,4,Framställning av vegetabiliska och animaliska oljor och fetter,
10410,5,Framställning av vegetabiliska och animaliska oljor och fetter,
1042,4,Matfettstillverkning,
10420,5,Matfettstillverkning,
105,3,Tillverkning av mejerivaror och glassvaror,
1051,4,Tillverkning av mejerivaror,
10510,5,Tillverkning av mejerivaror,
1052,4,Tillverkning av glassvaror,
10520,5,Tillverkning av glassvaror,
106,3,Tillverkning av kvarnprodukter och stärkelse,
1061,4,Tillverkning av kvarnprodukter,
10610,5,Tillverkning av kvarnprodukter,
1062,4,Stärkelsetillverkning,
10620,5,Stärkelsetillverkning,
107,3,Tillverkning av bageri- och mjölprodukter,
1071,4,Tillverkning av mjukt matbröd och färska bakverk,
10710,5,Tillverkning av mjukt matbröd och färska bakverk,
1072,4,"Tillverkning av knäckebröd, kex och konserverade bakverk",
10720,5,"Tillverkning av knäckebröd, kex och konserverade bakverk",
1073,4,Tillverkning av mjölprodukter,
10730,5,Tillverkning av mjölprodukter,
108,3,Annan livsmedelsframställning,
1081,4,Sockertillverkning,
10810,5,Sockertillverkning,
1082,4,"Tillverkning av kakao, choklad- och sockerkonfektyrer",
10820,5,"Tillverkning av kakao, choklad- och sockerkonfektyrer",
1083,4,Framställning av te och kaffe,
10830,5,Framställning av te och kaffe,
1084,4,Tillverkning av kryddor och andra smaksättare,
10840,5,Tillverkning av kryddor och andra smaksättare,
1085,4,Tillverkning av lagad mat och färdigrätter,
10850,5,Tillverkning av lagad mat och färdigrätter,
1086,4,Tillverkning av homogeniserade livsmedelsberedningar inklusive dietmat,
10860,5,Tillverkning av homogeniserade livsmedelsberedningar inklusive dietmat,
1089,4,Framställning av diverse övriga livsmedel,
10890,5,Framställning av diverse övriga livsmedel,
109,3,Framställning av beredda djurfoder,
1091,4,Framställning av beredda fodermedel,
10910,5,Framställning av beredda fodermedel,
1092,4,Framställning av mat till sällskapsdjur,
10920,5,Framställning av mat till sällskapsdjur,
11,2,Framställning av drycker,
110,3,Framställning av drycker,
1101,4,"Destillering, rening och tillblandning av spritdrycker",
11010,5,"Destillering, rening och tillblandning av spritdrycker",
1102,4,Framställning av vin från druvor,
11020,5,Framställning av vin från druvor,
1103,4,Framställning av cider och andra jästa drycker av frukt,
11030,5,Framställning av cider och andra jästa drycker av frukt,
1104,4,Framställning av andra icke-destillerade jästa drycker,
11040,5,Framställning av andra icke-destillerade jästa drycker,
1105,4,Framställning av öl,
11050,5,Framställning av öl,
1106,4,Framställning av malt,
11060,5,Framställning av malt,
1107,4,"Framställning av läskedrycker, mineralvatten och annat vatten på flaska",
11070,5,"Framställning av läskedrycker, mineralvatten och annat vatten på flaska",
12,2,Tobaksvarutillverkning,
120,3,Tobaksvarutillverkning,
1200,4,Tobaksvarutillverkning,
12000,5,Tobaksvarutillverkning,
13,2,Textilvarutillverkning,
131,3,Garntillverkning,
1310,4,Garntillverkning,
13100,5,Garntillverkning,
132,3,Vävnadstillverkning,
1320,4,Vävnadstillverkning,
13200,5,Vävnadstillverkning,
133,3,"Blekning, färgning och annan textilberedning",
1330,4,"Blekning, färgning och annan textilberedning",
13300,5,"Blekning, färgning och annan textilberedning",
139,3,Annan textilietillverkning,
1391,4,Tillverkning av trikåväv,
13910,5,Tillverkning av trikåväv,
1392,4,Tillverkning av hushållstextilier och andra sydda inredningsartiklar,
13920,5,Tillverkning av hushållstextilier och andra sydda inredningsartiklar,
1393,4,Tillverkning av mattor,
13930,5,Tillverkning av mattor,
1394,4,Tågvirkes- och bindgarnstillverkning,
13940,5,Tågvirkes- och bindgarnstillverkning,
1395,4,Tillverkning av bondad duk och varor av bondad duk,
13950,5,Tillverkning av bondad duk och varor av bondad duk,
1396,4,Tillverkning av andra tekniska textilier och industritextilier,
13960,5,Tillverkning av andra tekniska textilier och industritextilier,
1399,4,Övrig textilietillverkning,
13990,5,Övrig textilietillverkning,
14,2,Tillverkning av kläder,
141,3,Tillverkning av trikåvaror,
1410,4,Tillverkning av trikåvaror,
14100,5,Tillverkning av trikåvaror,
142,3,Tillverkning av andra beklädnadsvaror och tillbehör,
1421,4,Tillverkning av gång- och ytterkläder,
14210,5,Tillverkning av gång- och ytterkläder,
1422,4,"Tillverkning av underkläder, skjortor och blusar",
14220,5,"Tillverkning av underkläder, skjortor och blusar",
1423,4,"Tillverkning av arbets-, skydds- och överdragskläder",
14230,5,"Tillverkning av arbets-, skydds- och överdragskläder",
1424,4,Tillverkning av läder- och skinnkläder samt pälsvaror,
14240,5,Tillverkning av läder- och skinnkläder samt pälsvaror,
1429,4,Tillverkning av diverse övriga beklädnadsvaror och tillbehör,
14290,5,Tillverkning av diverse övriga beklädnadsvaror och tillbehör,
