sourceCode;sourceName;targetCode;targetName;distributionSourceToTarget;distributionTargetToSource;
"'A'";"Agriculture, forestry and fishing";"'S'";"Arts, sports and recreation";2;2;
"'A'";"Agriculture, forestry and fishing";"'A'";"Agriculture, forestry and fishing";2;2;
"'01'";"Crop and animal production, hunting and related service activities";"'01'";"Crop and animal production, hunting and related service activities";0;2;
"'011'";"Growing of non-perennial crops";"'011'";"Growing of non-perennial crops";0;2;
"'0111'";"Growing of cereals (except rice), leguminous crops and oil seeds";"'0111'";"Growing of cereals, other than rice, leguminous crops and oil seeds";0;0;
"'01110'";"Growing of cereals (except rice), leguminous crops and oil seeds";"'01110'";"Growing of cereals, other than rice, leguminous crops and oil seeds";0;0;
"'0112'";"Growing of rice";"'0112'";"Growing of rice";0;0;
"'01120'";"Growing of rice";"'01120'";"Growing of rice";0;0;
"'0113'";"Growing of vegetables and melons, roots and tubers";"'0113'";"Growing of vegetables and melons, roots and tubers";0;2;
"'01131'";"Growing of vegetables in the open (excl. potatoes and sugar beet)";"'01131'";"Growing of vegetables and melons, roots and tubers in the open excluding potatoes";0;2;
"'01132'";"Growing of vegetables in a greenhouse";"'01132'";"Growing of vegetables and melons, roots and tubers in a greenhouse";0;2;
"'01133'";"Growing of potatoes";"'01133'";"Growing of potatoes";0;0;
"'01134'";"Growing of sugar beet";"'01131'";"Growing of vegetables and melons, roots and tubers in the open excluding potatoes";0;2;
"'0114'";"Growing of sugar cane";"'0114'";"Growing of sugar cane";0;0;
"'01140'";"Growing of sugar cane";"'01140'";"Growing of sugar cane";0;0;
"'0115'";"Growing of tobacco";"'0115'";"Growing of tobacco";0;0;
"'01150'";"Growing of tobacco";"'01150'";"Growing of tobacco";0;0;
"'0116'";"Growing of fibre crops";"'0116'";"Growing of fibre crops";0;0;
"'01160'";"Growing of fibre crops";"'01160'";"Growing of fibre crops";0;0;
"'0119'";"Growing of other non-perennial crops";"'0119'";"Growing of other non-perennial crops";2;0;
"'0119'";"Growing of other non-perennial crops";"'0113'";"Growing of vegetables and melons, roots and tubers";2;2;
"'01191'";"Growing of horticultural specialities";"'01191'";"Growing of flowers and ornamental plants";0;0;
"'01199'";"Growing of other non-perennial plants";"'01199'";"Growing of other non-perennial crops n.e.c.";2;0;
"'01199'";"Growing of other non-perennial plants";"'01131'";"Growing of vegetables and melons, roots and tubers in the open excluding potatoes";2;2;
"'012'";"Growing of perennial crops";"'012'";"Growing of perennial crops";2;0;
"'012'";"Growing of perennial crops";"'011'";"Growing of non-perennial crops";2;2;
"'0121'";"Growing of grapes";"'0121'";"Growing of grapes";0;0;
"'01210'";"Growing of grapes";"'01210'";"Growing of grapes";0;0;
"'0122'";"Growing of tropical and subtropical fruits";"'0122'";"Growing of tropical and subtropical fruits";0;0;
