sourceCode;sourceName;targetCode;targetName;distributionSourceToTarget;distributionTargetToSource;
"'A'";"Maatalous, metsätalous ja kalatalous";"'S'";"Taiteet, urheilu ja virkistys";2;2;
"'A'";"Maatalous, metsätalous ja kalatalous";"'A'";"Maatalous, metsätalous ja kalatalous";2;2;
"'01'";"Kasvinviljely ja kotieläintalous, riistatalous ja niihin liittyvät palvelut";"'01'";"Kasvinviljely ja kotieläintalous, riistatalous ja niihin liittyvät palvelut";0;2;
"'011'";"Yksivuotisten kasvien viljely";"'011'";"Yksivuotisten kasvien viljely";0;2;
"'0111'";"Viljakasvien (pl. riisin), palkokasvien ja öljysiemenkasvien viljely";"'0111'";"Viljakasvien, pois lukien riisi, palkokasvien ja öljysiemenkasvien viljely";0;0;
"'01110'";"Viljakasvien (pl. riisin), palkokasvien ja öljysiemenkasvien viljely";"'01110'";"Viljakasvien, pois lukien riisi, palkokasvien ja öljysiemenkasvien viljely";0;0;
"'0112'";"Riisin viljely";"'0112'";"Riisin viljely";0;0;
"'01120'";"Riisin viljely";"'01120'";"Riisin viljely";0;0;
"'0113'";"Vihannesten ja melonien, juuresten ja mukulakasvien viljely";"'0113'";"Vihannesten ja melonien, juuresten ja mukulakasvien viljely";0;2;
"'01131'";"Vihannesten viljely avomaalla (pl. peruna ja sokerijuurikas)";"'01131'";"Vihannesten ja melonien, juuresten ja mukulakasvien viljely avomaalla pois lukien perunan viljely";0;2;
"'01132'";"Vihannesten viljely kasvihuoneessa";"'01132'";"Vihannesten ja melonien, juuresten ja mukulakasvien viljely kasvihuoneessa";0;2;
"'01133'";"Perunan viljely";"'01133'";"Perunan viljely";0;0;
"'01134'";"Sokerijuurikkaan viljely";"'01131'";"Vihannesten ja melonien, juuresten ja mukulakasvien viljely avomaalla pois lukien perunan viljely";0;2;
"'0114'";"Sokeriruo'on viljely";"'0114'";"Sokeriruo’on viljely";0;0;
"'01140'";"Sokeriruo'on viljely";"'01140'";"Sokeriruo’on viljely";0;0;
"'0115'";"Tupakan viljely";"'0115'";"Tupakan viljely";0;0;
"'01150'";"Tupakan viljely";"'01150'";"Tupakan viljely";0;0;
"'0116'";"Kuitukasvien viljely";"'0116'";"Kuitukasvien viljely";0;0;
"'01160'";"Kuitukasvien viljely";"'01160'";"Kuitukasvien viljely";0;0;
"'0119'";"Muu yksivuotisten ja koristekasvien viljely";"'0119'";"Muu yksivuotisten ja koristekasvien viljely";2;0;
"'0119'";"Muu yksivuotisten ja koristekasvien viljely";"'0113'";"Vihannesten ja melonien, juuresten ja mukulakasvien viljely";2;2;
"'01191'";"Koristekasvien viljely";"'01191'";"Kukkien ja koristekasvien viljely";0;0;
"'01199'";"Muiden yksivuotisten kasvien viljely";"'01199'";"Muu muualla luokittelematon yksi- ja kaksivuotisten kasvien viljely";2;0;
"'01199'";"Muiden yksivuotisten kasvien viljely";"'01131'";"Vihannesten ja melonien, juuresten ja mukulakasvien viljely avomaalla pois lukien perunan viljely";2;2;
"'012'";"Monivuotisten kasvien viljely";"'012'";"Monivuotisten kasvien viljely";2;0;
"'012'";"Monivuotisten kasvien viljely";"'011'";"Yksivuotisten kasvien viljely";2;2;
"'0121'";"Rypäleiden viljely";"'0121'";"Rypäleiden viljely";0;0;
"'01210'";"Rypäleiden viljely";"'01210'";"Rypäleiden viljely";0;0;
"'0122'";"Trooppisten ja subtrooppisten hedelmien viljely";"'0122'";"Trooppisten ja subtrooppisten hedelmien viljely";0;0;
"'01220'";"Trooppisten ja subtrooppisten hedelmien viljely";"'01220'";"Trooppisten ja subtrooppisten hedelmien viljely";0;0;
"'0123'";"Sitrushedelmien viljely";"'0123'";"Sitrushedelmien viljely";0;0;
"'01230'";"Sitrushedelmien viljely";"'01230'";"Sitrushedelmien viljely";0;0;
"'0124'";"Omenoiden, kirsikoiden, luumujen ym. kota- ja kivihedelmien viljely";"'0124'";"Kota- ja kivihedelmien viljely";0;0;
"'01240'";"Omenoiden, kirsikoiden, luumujen ym. kota- ja kivihedelmien viljely";"'01240'";"Kota- ja kivihedelmien viljely";0;0;
"'0125'";"Marjojen, pähkinöiden ja muiden puissa ja pensaissa kasvavien hedelmien viljely";"'0125'";"Marjojen, pähkinöiden ja muiden puissa ja pensaissa kasvavien hedelmien viljely";0;0;
"'01250'";"Marjojen, pähkinöiden ja muiden puissa ja pensaissa kasvavien hedelmien viljely";"'01250'";"Marjojen, pähkinöiden ja muiden puissa ja pensaissa kasvavien hedelmien viljely";0;0;
"'0126'";"Öljyä sisältävien hedelmien viljely";"'0126'";"Öljyä sisältävien hedelmien viljely";0;0;
"'01260'";"Öljyä sisältävien hedelmien viljely";"'01260'";"Öljyä sisältävien hedelmien viljely";0;0;
"'0127'";"Juomakasvien viljely";"'0127'";"Juomakasvien viljely";0;0;
"'01270'";"Juomakasvien viljely";"'01270'";"Juomakasvien viljely";0;0;
"'0128'";"Mauste-, aromi-, rohdos- ja lääkekasvien viljely";"'0128'";"Mauste-, aromi-, rohdos- ja lääkekasvien viljely";2;0;
"'0128'";"Mauste-, aromi-, rohdos- ja lääkekasvien viljely";"'0113'";"Vihannesten ja melonien, juuresten ja mukulakasvien viljely";2;2;
"'01280'";"Mauste-, aromi-, rohdos- ja lääkekasvien viljely";"'01280'";"Mauste-, aromi-, rohdos- ja lääkekasvien viljely";1;0;
"'01280'";"Mauste-, aromi-, rohdos- ja lääkekasvien viljely";"'01132'";"Vihannesten ja melonien, juuresten ja mukulakasvien viljely kasvihuoneessa";2;2;
"'0129'";"Muu monivuotisten kasvien viljely";"'0129'";"Muu monivuotisten kasvien viljely";0;0;
"'01290'";"Muu monivuotisten kasvien viljely";"'01290'";"Muu monivuotisten kasvien viljely";0;0;
"'013'";"Taimien kasvatus ja muu kasvien lisääminen";"'013'";"Taimien kasvatus ja muu kasvien lisääminen";0;0;
"'0130'";"Taimien kasvatus ja muu kasvien lisääminen";"'0130'";"Taimien kasvatus ja muu kasvien lisääminen";0;0;
"'01300'";"Taimien kasvatus ja muu kasvien lisääminen";"'01300'";"Taimien kasvatus ja muu kasvien lisääminen";0;0;
"'014'";"Kotieläintalous";"'014'";"Kotieläintalous";0;2;
"'0141'";"Lypsykarjan kasvatus";"'0141'";"Lypsykarjan kasvatus";0;2;
"'01410'";"Lypsykarjan kasvatus";"'01410'";"Lypsykarjan kasvatus";0;1;
"'0142'";"Muun nautakarjan ja puhvelien kasvatus";"'0142'";"Muun nautakarjan ja puhvelien kasvatus";2;0;
"'0142'";"Muun nautakarjan ja puhvelien kasvatus";"'0141'";"Lypsykarjan kasvatus";2;2;
"'01420'";"Muun nautakarjan ja puhvelien kasvatus";"'01420'";"Muun nautakarjan ja puhvelien kasvatus";1;0;
"'01420'";"Muun nautakarjan ja puhvelien kasvatus";"'01410'";"Lypsykarjan kasvatus";2;2;
"'0143'";"Hevosten ja muiden hevoseläinten kasvatus";"'0143'";"Hevosten ja muiden hevoseläinten kasvatus";0;0;
"'01430'";"Hevosten ja muiden hevoseläinten kasvatus";"'01430'";"Hevosten ja muiden hevoseläinten kasvatus";0;0;
"'0144'";"Kamelien ja kamelieläinten kasvatus";"'0144'";"Kamelien ja kamelieläinten kasvatus";0;0;
"'01440'";"Kamelien ja kamelieläinten kasvatus";"'01440'";"Kamelien ja kamelieläinten kasvatus";0;0;
"'0145'";"Lampaiden ja vuohien kasvatus";"'0145'";"Lampaiden ja vuohien kasvatus";0;0;
"'01450'";"Lampaiden ja vuohien kasvatus";"'01450'";"Lampaiden ja vuohien kasvatus";0;0;
"'0146'";"Sikojen kasvatus";"'0146'";"Sikojen ja porsaiden kasvatus";0;0;
"'01461'";"Porsastuotanto";"'01461'";"Sikojen ja porsaiden kasvatus porsastuotantoa varten";0;0;
"'01462'";"Lihasikojen kasvatus";"'01462'";"Sikojen ja porsaiden kasvatus lihantuotantoa varten";0;0;
"'0147'";"Siipikarjan kasvatus";"'0147'";"Siipikarjan kasvatus";0;2;
"'01471'";"Kananmunien tuotanto";"'01471'";"Kanojen kasvatus munien tuotantoa varten";0;2;
"'01472'";"Broilerien tuotanto";"'01472'";"Broilerien kasvatus lihantuotantoa varten";0;0;
"'01479'";"Muu siipikarjatalous";"'01479'";"Muu siipikarjan kasvatus";0;2;
"'0149'";"Muiden eläinten kasvatus";"'0148'";"Muiden eläinten kasvatus";2;2;
"'0149'";"Muiden eläinten kasvatus";"'0147'";"Siipikarjan kasvatus";2;2;
"'01491'";"Turkistarhaus";"'01481'";"Turkiseläinten kasvatus";0;0;
"'01492'";"Poronhoito";"'01482'";"Poronhoito";0;0;
"'01499'";"Muu eläinten hoito";"'01489'";"Muu muualla luokittelematon eläinten kasvatus";2;2;
"'01499'";"Muu eläinten hoito";"'01479'";"Muu siipikarjan kasvatus";2;2;
"'015'";"Yhdistetty kasvinviljely ja kotieläintalous (sekatilat)";"'015'";"Yhdistetty kasvinviljely ja kotieläintalous";0;0;
"'0150'";"Yhdistetty kasvinviljely ja kotieläintalous (sekatilat)";"'0150'";"Yhdistetty kasvinviljely ja kotieläintalous";0;0;
"'01500'";"Yhdistetty kasvinviljely ja kotieläintalous (sekatilat)";"'01500'";"Yhdistetty kasvinviljely ja kotieläintalous";0;0;
"'016'";"Maataloutta palveleva toiminta";"'016'";"Maataloutta palveleva toiminta";2;0;
"'016'";"Maataloutta palveleva toiminta";"'014'";"Kotieläintalous";2;2;
"'0161'";"Kasvinviljelyä palveleva toiminta";"'0161'";"Kasvinviljelyä palveleva toiminta";0;0;
"'01611'";"Kasvinviljelyn tukipalvelut";"'01612'";"Muu kasvinviljelyä palveleva toiminta";0;0;
"'01612'";"Maatalousmaan pitäminen viljelykelpoisena";"'01611'";"Viljelysmaan pitäminen hyvässä kunnossa";0;0;
"'0162'";"Kotieläintaloutta palveleva toiminta";"'0162'";"Kotieläintaloutta palveleva toiminta";2;0;
"'0162'";"Kotieläintaloutta palveleva toiminta";"'0147'";"Siipikarjan kasvatus";2;2;
"'01620'";"Kotieläintaloutta palveleva toiminta";"'01620'";"Kotieläintaloutta palveleva toiminta";1;0;
"'01620'";"Kotieläintaloutta palveleva toiminta";"'01479'";"Muu siipikarjan kasvatus";2;2;
"'01620'";"Kotieläintaloutta palveleva toiminta";"'01471'";"Kanojen kasvatus munien tuotantoa varten";2;2;
"'0163'";"Sadon jatkokäsittely";"'0163'";"Sadon jatkokäsittely ja siementen käsittely kasvinviljelyä varten";0;2;
"'01630'";"Sadon jatkokäsittely";"'01630'";"Sadon jatkokäsittely ja siementen käsittely kasvinviljelyä varten";0;2;
"'0164'";"Siementen käsittely kasvinviljelyä varten";"'0163'";"Sadon jatkokäsittely ja siementen käsittely kasvinviljelyä varten";0;2;
"'01640'";"Siementen käsittely kasvinviljelyä varten";"'01630'";"Sadon jatkokäsittely ja siementen käsittely kasvinviljelyä varten";0;2;
"'017'";"Metsästys ja sitä palveleva toiminta";"'017'";"Metsästys ja sitä palveleva toiminta";0;0;
