code;level;classificationName;
"'A'";1;"Agriculture, forestry and fishing";
"'01'";2;"Crop and animal production, hunting and related service activities";
"'011'";3;"Growing of non-perennial crops";
"'0111'";4;"Growing of cereals, other than rice, leguminous crops and oil seeds";
"'01110'";5;"Growing of cereals, other than rice, leguminous crops and oil seeds";
"'0112'";4;"Growing of rice";
"'01120'";5;"Growing of rice";
"'0113'";4;"Growing of vegetables and melons, roots and tubers";
"'01131'";5;"Growing of vegetables and melons, roots and tubers in the open excluding potatoes";
"'01132'";5;"Growing of vegetables and melons, roots and tubers in a greenhouse";
"'01133'";5;"Growing of potatoes";
"'0114'";4;"Growing of sugar cane";
"'01140'";5;"Growing of sugar cane";
"'0115'";4;"Growing of tobacco";
"'01150'";5;"Growing of tobacco";
"'0116'";4;"Growing of fibre crops";
"'01160'";5;"Growing of fibre crops";
"'0119'";4;"Growing of other non-perennial crops";
"'01191'";5;"Growing of flowers and ornamental plants";
"'01199'";5;"Growing of other non-perennial crops n.e.c.";
"'012'";3;"Growing of perennial crops";
"'0121'";4;"Growing of grapes";
"'01210'";5;"Growing of grapes";
"'0122'";4;"Growing of tropical and subtropical fruits";
"'01220'";5;"Growing of tropical and subtropical fruits";
"'0123'";4;"Growing of citrus fruits";
"'01230'";5;"Growing of citrus fruits";
"'0124'";4;"Growing of pome fruits and stone fruits";
"'01240'";5;"Growing of pome fruits and stone fruits";
"'0125'";4;"Growing of other tree and bush fruits and nuts";
"'01250'";5;"Growing of other tree and bush fruits and nuts";
"'0126'";4;"Growing of oleaginous fruits";
"'01260'";5;"Growing of oleaginous fruits";
"'0127'";4;"Growing of beverage crops";
"'01270'";5;"Growing of beverage crops";
"'0128'";4;"Growing of spices, aromatic, drug and pharmaceutical crops";
"'01280'";5;"Growing of spices, aromatic, drug and pharmaceutical crops";
"'0129'";4;"Growing of other perennial crops";
"'01290'";5;"Growing of other perennial crops";
"'013'";3;"Plant propagation";
"'0130'";4;"Plant propagation";
"'01300'";5;"Plant propagation";
"'014'";3;"Animal production";
"'0141'";4;"Raising of dairy cattle";
"'01410'";5;"Raising of dairy cattle";
"'0142'";4;"Raising of other cattle and buffaloes";
"'01420'";5;"Raising of other cattle and buffaloes";
"'0143'";4;"Raising of horses and other equines";
"'01430'";5;"Raising of horses and other equines";
"'0144'";4;"Raising of camels and camelids";
"'01440'";5;"Raising of camels and camelids";
"'0145'";4;"Raising of sheep and goats";
"'01450'";5;"Raising of sheep and goats";
"'0146'";4;"Raising of swine and pigs";
"'01461'";5;"Raising of swine and pigs for piglets";
"'01462'";5;"Raising of swine and pigs for meat";
"'0147'";4;"Raising of poultry";
"'01471'";5;"Raising of chicken for egg production";
"'01472'";5;"Raising of chicken for meat production";
"'01479'";5;"Other raising of poultry";
"'0148'";4;"Raising of other animals";
"'01481'";5;"Raising of animals for fur";
"'01482'";5;"Raising of reindeer";
"'01489'";5;"Raising of other animals n.e.c.";
"'015'";3;"Mixed farming";
"'0150'";4;"Mixed farming";
"'01500'";5;"Mixed farming";
"'016'";3;"Support activities to agriculture and post-harvest crop activities";
"'0161'";4;"Support activities for crop production";
"'01611'";5;"Keeping land in good condition";
"'01612'";5;"Other support activities for crop production";
"'0162'";4;"Support activities for animal production";
"'01620'";5;"Support activities for animal production";
"'0163'";4;"Post-harvest crop activities and seed processing for propagation";
"'01630'";5;"Post-harvest crop activities and seed processing for propagation";
"'017'";3;"Hunting, trapping and related service activities";
